Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,Local-Cluster,N.Texas,NTX Wide,Texas,Texas Statewide,BM Texas,TX-OK,N.America,Worldwide,WW Eng,BM WW,DCI Bridge,TAC 310,TAC 311,TAC 312,TAC 311,Parrot,Audio Test,AMSAT,S.Plains,Cactus,TGIF
McKinney,N5GI,Turbo,145.35,144.75,1,2,2,-,2,2,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
McKinney,N5ITU,Turbo,441.3375,446.3375,1,-,-,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,-,-,-,-
McKinney,N5GI,Turbo,442.575,447.575,1,2,2,-,2,2,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Anna,WS5W,Turbo,440.525,445.525,1,2,-,-,2,2,-,-,1,1,1,,-,-,-,-,-,-,-,-,-,-,-
Fairview,N5ITU,Turbo,441.3375,446.3375,2,2,2,-,2,2,-,-,1,1,1,,2,2,-,-,-,2,2,-,-,-,-
Farmersville,WA5DKW,Turbo,440.0125,445.0125,1,1,-,1,,2,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Little Elm,WB8GRS,Turbo,441.3875,446.3875,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Richardson,K5RWK,Turbo,440.375,445.375,1,-,2,2,1,1,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-
Dallas,W5EBQ,Turbo,440.6375,445.6375,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dallas,AB5U,Turbo,440.1375,445.1375,1,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Dallas,W5EBQ,Turbo,441.3375,446.3375,1,2,-,-,2,-,-,2,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-
Dallas,N4MSE,Turbo,442.025,447.025,1,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
